type,dim,n,k,time
kdtree,6,6000,40,157427
kdtree,7,6000,40,221928
kdtree,1,7000,40,904565
kdtree,2,7000,40,123287
kdtree,3,7000,40,74418
kdtree,4,7000,40,83270
kdtree,5,7000,40,104596
kdtree,6,7000,40,166431
kdtree,7,7000,40,238792
kdtree,1,8000,40,974778
kdtree,2,8000,40,129671
kdtree,3,8000,40,81293
kdtree,4,8000,40,84667
kdtree,5,8000,40,109263
kdtree,6,8000,40,161145
kdtree,7,8000,40,258470
kdtree,1,9000,40,1074923
kdtree,2,9000,40,141768
kdtree,3,9000,40,85846
kdtree,4,9000,40,88733
kdtree,5,9000,40,114717
kdtree,6,9000,40,171277
kdtree,7,9000,40,249198
kdtree,1,10000,40,1297628
